place,player_rating,games_lastyear,games_total,player_id,name
1,8927,55,729,30152,Сорожкин Артём Сергеевич
3,8882,35,541,30270,Спешков Сергей Леонидович
3,8882,44,606,27822,Савченков Михаил Владимирович
3,8882,97,651,28751,Семушин Иван Николаевич
5,8864,21,504,27403,Руссо Максим Михайлович
6,8795,40,594,4270,Брутер Александра Владимировна
7,8766,105,741,18332,Либер Александр Витальевич
8,8591,18,427,18036,Левандовский Михаил Ильич
9,8586,50,678,6482,Галачян Ким Гагикович
10,8563,39,425,22799,Николенко Сергей Игоревич
11,8550,25,536,13782,Кафиатуллин Тимур Рустемович
12,8548,63,584,6212,Выменец Юрий Яковлевич
13,8481,21,351,34846,Чернин Антон Анатольевич
14,8436,81,456,32901,Фарукшин Наиль Евгеньевич
15,8405,59,482,15456,Коновалов Сергей Владимирович
16,8402,52,513,23737,Островский Андрей Вячеславович
17,8369,27,269,32458,Тюнькин Игорь Вячеславович
18,8361,48,518,33032,Фёдорова Татьяна Евгеньевна
19,8359,78,862,38458,Лобкова Екатерина Владимировна
20,8357,66,696,5990,Волыхов Андрей Александрович
21,8346,20,483,34936,Чернышёв Кирилл Александрович*
22,8345,57,572,23321,Ожигов Дмитрий Сергеевич
"23,5",8342,38,445,16837,Кудряшова Наталья Алексеевна
"23,5",8342,59,512,37718,Петров Дмитрий Николаевич
25,8341,92,570,33620,Хаиткулов Руслан Гафурович
26,8336,109,579,23178,Овдеенко Елизавета Сергеевна
27,8326,15,373,13689,Карякин Дмитрий Александрович
28,8324,54,448,31493,Терентьев Сергей Александрович
"29,5",8322,65,618,9801,Дружинин Егор Александрович
"29,5",8322,22,504,7008,Гилёв Алексей Владимирович
31,8315,35,388,25882,Поташев Максим Оскарович*
32,8312,53,649,5328,Великов Дмитрий Вадимович
33,8311,58,533,90915,Яковлев Вадим Игоревич
34,8301,91,390,56000,Коватенков Евгений Николаевич
35,8299,7,844,42511,Некрылов Николай Андреевич
36,8298,53,358,28689,Семёнова Инна Валентиновна
37,8293,23,484,27989,Салита Александр Евгеньевич*
38,8264,45,583,20691,Мереминский Станислав Григорьевич
39,8232,26,657,36120,Шибанов Серафим Александрович
40,8208,50,371,19541,Малкин Михаил Леонидович
"41,5",8205,127,424,110920,Дворянчиков Алексей Ярославович
"41,5",8205,44,302,116713,Сарницкая Ольга Владимировна
43,8194,16,323,30475,Степанов Владимир Владимирович
"44,5",8188,88,501,72160,Карчевский Александр Сергеевич
"44,5",8188,46,283,59270,Новикова Екатерина Сергеевна
"46,5",8185,114,696,12313,Иванченко Сергей Леонидович
"46,5",8185,116,747,27499,Рыжанова Наталия Владимировна
48,8184,98,394,40877,Сибаев Ринат Ильдарович
49,8183,13,353,20001,Мартынов Александр Ефимович
50,8160,48,446,74382,Новосёлов Михаил Андреевич
"51,5",8158,99,436,19915,Марков Александр Валерьевич
"51,5",8158,85,369,86775,Халиуллин Рузель Сабитович
53,8155,46,344,10695,Ефремов Иван Николаевич
54,8147,31,313,36035,Шередега Алексей Владимирович
"55,5",8138,76,305,25177,Поверинов Никита Олегович
"55,5",8138,82,362,31184,Талыбов Эльман Эльдар оглы
"57,5",8133,58,370,2421,Самойлова Ася Сергеевна^
"57,5",8133,19,379,72211,Подрядчикова Мария Владимировна
59,8128,78,472,24850,Печеный Александр Павлович*
60,8123,46,452,1585,Архангельская Юлия Сергеевна
61,8122,59,326,113703,Николаев Глеб Владиславович
62,8120,65,564,47521,Декалов Владислав Владимирович
"63,5",8119,57,656,10586,Ершов Павел Михайлович
"63,5",8119,36,308,26911,Фингеров Александр Александрович
65,8111,20,289,26089,Прокофьева Ирина Сергеевна^
66,8098,38,389,2954,Белов Андрей Евгеньевич
67,8095,87,529,51715,Мухаметкалиев Анвар Саматович
68,8094,36,454,505,Айзятулова Иделия Мукадясовна
69,8087,66,394,96330,Комар Наталья Александровна
70,8085,35,436,63529,Тарарыков Дмитрий Фёдорович
71,8082,14,216,15217,Колосов Вячеслав Юрьевич
72,8081,79,403,9342,Дидбаридзе Юлия Амираниевна
73,8080,65,315,33792,Харитонов Владислав Александрович
74,8076,30,384,24543,Перпер Евгений Михайлович
75,8073,100,661,21233,Михлин Леонид Станиславович
"76,5",8070,46,403,16332,Крапиль Николай Валерьевич
"76,5",8070,25,155,62252,Боков Тимур Юрьевич
78,8065,62,509,31038,Сушков Владимир Владимирович
79,8057,32,373,25819,Порцель Николай Александрович
80,8054,49,589,95884,Проскурина Ирина Александровна
81,8053,86,487,107161,Файзуллина Карина Радиковна
82,8052,90,134,183104,Шестакова Анастасия Юрьевна
83,8047,59,415,18490,Литвинов Дмитрий Сергеевич
"84,5",8044,87,249,34395,Цепаев Андрей Алексеевич
"84,5",8044,48,646,3438,Биткин Игорь Владимирович
86,8017,58,279,116901,Шевцова Екатерина Сергеевна
87,8014,7,411,19666,Мальчёнков Станислав Александрович
88,8004,24,276,17034,Кузьменко Егор Андреевич
89,7991,103,584,26640,Раскумандрин Вадим Игоревич
90,7988,9,327,66764,Гулуева Эльмира Гасымовна
91,7984,58,125,143822,Кудрявцева Валерия Михайловна
92,7983,72,382,10145,Евсеев Сергей Владимирович
93,7972,35,280,70750,Галиакберов Денис Андреевич
94,7971,22,342,34647,Чебыкин Алексей Михайлович
95,7969,35,673,4121,Бочкарёв Антон Алексеевич
96,7962,18,373,18194,Кленницкая Мария Владимировна
97,7960,4,215,27240,Рубашкина Анастасия Дмитриевна
98,7955,40,446,80593,Шуб Алексей Владимирович
99,7952,26,480,54910,Пинчук Антон Алексеевич
100,7951,85,423,36592,Штых Алексей Константинович